sample_idx,segment_idx,ee_x,ee_y,base_x,base_y,j1_x,j1_y,j2_x,j2_y,j3_x,j3_y,theta1,theta2,theta3
0,0,295.0,15.000000000000002,15.0,15.0,165.68965517241378,-63.693251451563654,305.0,15.0,295.0,15.000000000000002,-0.4812657048460797,0.995459232092684,2.627399126343189
1,0,294.9924588863482,15.004055682896542,15.0,15.0,165.68670115045592,-63.69890784752472,304.9924587596413,15.00246378557263,294.9924588863482,15.004055682896542,-0.4813032419377708,0.995555058575838,2.6271816472186624
2,0,294.9700400501695,15.016112746965264,15.0,15.0,165.67791941685712,-63.715720159362775,304.9700380502556,15.009788328161449,294.9700400501695,15.016112746965264,-0.48141481649346324,0.9958399069173324,2.626535121243381
3,0,294.9330502486296,15.036006215274778,15.0,15.0,165.66343078797897,-63.743448128691156,304.9330402618146,15.021873409440772,294.9330502486296,15.036006215274778,-0.48159884679153736,0.9963097844536983,2.625468434873759
4,0,294.88179623889397,15.063571110893657,15.0,15.0,165.64335648176308,-63.78184529387754,304.8817651080061,15.038618820661696,294.88179623889397,15.063571110893657,-0.4818537176845992,0.9969606408990823,2.623990498762821
5,0,294.8165847781282,15.098642456890564,15.0,15.0,165.6178180911463,-63.83065947626193,304.8165098233454,15.059924372789453,294.8165847781282,15.098642456890564,-0.4821777832202687,0.9977883730290351,2.6221102456972014
6,0,294.73772262349746,15.141055276334107,15.0,15.0,165.58693755899714,-63.8896332644708,304.7375693561316,15.085689909659465,294.73772262349746,15.141055276334107,-0.4825693692516911,0.998788829392072,2.619836628496095
7,0,294.64551653216756,15.190644592292898,15.0,15.0,165.5508371544694,-63.95850449500949,304.64523655727544,15.11581532358062,294.64551653216756,15.190644592292898,-0.48302677602773203,0.9999578150225903,2.617178617888537
8,0,294.5402732613039,15.247245427835544,15.0,15.0,165.50963945068062,-64.037006727394,304.53980236502275,15.150200572847908,294.5402732613039,15.247245427835544,-0.4835482807532314,1.001291096129953,2.6141452003845673
9,0,294.42229956807205,15.310692806030678,15.0,15.0,165.46346730363436,-64.12486971217176,304.4215559856009,15.188745700660888,294.42229956807205,15.310692806030678,-0.4841321401101639,1.0027844047398824,2.6107453761550055
10,0,294.2919022096374,15.38082174994689,15.0,15.0,165.4124438323127,-64.22181985028733,304.2907850698152,15.23135085497664,294.2919022096374,15.38082174994689,-0.48477659273114054,1.0044334432658482,2.606988156933557
11,0,294.1493879431655,15.457467282652772,15.0,15.0,165.3566923998691,-64.32758064236636,304.14777588561947,15.277916308858536,294.1493879431655,15.457467282652772,-0.48547986161733625,1.0062338889898028,2.6028825639540107
12,0,293.9950635258219,15.540464427217067,15.0,15.0,165.29633659585457,-64.44187312661748,303.9928134866829,15.328342480913122,293.9950635258219,15.540464427217067,-0.48624015649364166,1.0081813984333838,2.598437625934184
13,0,293.829235714772,15.629648206708215,15.0,15.0,165.23150021940847,-64.56441630418634,303.82618187697017,15.382529955437164,293.829235714772,15.629648206708215,-0.48705567609459305,1.010271611602555,2.593662377117214
14,0,293.6522112671813,15.72485364419494,15.0,15.0,165.16230726334769,-64.69492755092988,303.6481641713512,15.440379501929058,293.6522112671813,15.72485364419494,-0.4879246103753983,1.012500156090519,2.5885658553796738
15,0,293.4642969402155,15.825915762745826,15.0,15.0,165.0888818990801,-64.83312301472361,303.45904275224734,15.501792093644,293.4642969402155,15.825915762745826,-0.488845142643201,1.0148626510256784,2.5831571004148675
16,0,293.2657994910398,15.932669585429478,15.0,15.0,165.01134846226876,-64.97871799755094,303.2590994223185,15.56666892490449,293.2657994910398,15.932669585429478,-0.48981545160450296,1.0173547108533068,2.577445151998589
17,0,293.0570256768199,16.044950135314544,15.0,15.0,164.92983143916805,-65.13142732176095,303.0486155531911,15.634911426902761,293.0570256768199,16.044950135314544,-0.4908337133254535,1.0199719489414425,2.5714390483435157
18,0,292.8382822547212,16.16259243546961,15.0,15.0,164.84445545354737,-65.29096568001822,302.8278722302168,15.706421281759319,292.8382822547212,16.16259243546961,-0.4918981031025012,1.0227099810033866,2.565147824547358
19,0,292.60987598190934,16.285431508963295,15.0,15.0,164.7553452541151,-65.45704796859494,302.59715039325204,15.781100434628755,292.60987598190934,16.285431508963295,-0.4930067972416296,1.0255644283309104,2.5585805111388953
20,0,292.3721136155497,16.413302378864234,15.0,15.0,164.6626257023508,-65.6293896037794,302.3567309734375,15.858851103668101,292.3721136155497,16.413302378864234,-0.49415797474511436,1.0285309208339726,2.55174613272501
21,0,292.1253019128078,16.546040068241027,15.0,15.0,164.5664217606493,-65.80770682129011,302.10689502595557,15.93957578770899,292.1253019128078,16.546040068241027,-0.49534981890539476,1.0316050998843165,2.544653706740962
22,0,291.86974763084913,16.683479600162322,15.0,15.0,164.46685848067742,-65.99171695869367,301.8479238587357,16.023177271498852,291.86974763084913,16.683479600162322,-0.4965805188062859,1.0347826209618298,2.5373122423052457
23,0,291.60575752683917,16.825455997696675,15.0,15.0,164.3640609918414,-66.18113872092137,301.58009915707385,16.109558628399142,291.60575752683917,16.825455997696675,-0.4978482707323064,1.038059156103882,2.5297307391795743
24,0,291.3336383579436,16.971804283912714,15.0,15.0,164.2581544897608,-66.37569242907057,301.3037031041279,16.19862322045296,291.3336383579436,16.971804283912714,-0.499151279487424,1.0414303961591482,2.5219181868338056
25,0,291.05369688132765,17.12235948187903,15.0,15.0,164.1492642246441,-66.57510025275668,301.0190184972466,16.290274695754903,291.05369688132765,17.12235948187903,-0.5004877596249735,1.0448920528485441,2.5138835636149253
26,0,290.766239854157,17.276956614664368,15.0,15.0,164.03751548946138,-66.7790864263508,300.7263288600871,16.384416983079063,290.766239854157,17.276956614664368,-0.5018559365908968,1.0484398606369116,2.505635836018597
27,0,290.4715740335971,17.435430705337208,15.0,15.0,163.92303360780983,-66.9873774495022,300.4259185504709,16.480954283740388,290.4715740335971,17.435430705337208,-0.5032540477828202,1.0520695784200258,2.497183958061237
28,0,290.17000617681344,17.597616776966216,15.0,15.0,163.80594392137039,-67.19970227239253,300.1180728639281,16.579791060687015,290.17000617681344,17.597616776966216,-0.5046803435277468,1.0557769910322268,2.4885368707500763
